"file";"ID";"N";"M";"DIST";"method";"result"
"N192_M5_normal-wide_I9Z1J4S6";"I9Z1J4S6";192;5;"normal-wide";"kplus";"3, 3, 3, 2, 1, 3, 1, 1, 3, 2, 2, 2, 3, 1, 1, 3, 1, 1, 1, 2, 2, 1, 3, 3, 3, 2, 2, 1, 2, 3, 1, 2, 3, 1, 3, 2, 2, 2, 2, 3, 3, 2, 1, 3, 3, 1, 2, 2, 1, 2, 1, 2, 2, 2, 1, 1, 2, 1, 2, 2, 3, 1, 3, 2, 2, 2, 1, 2, 2, 3, 2, 3, 3, 1, 1, 1, 3, 3, 2, 3, 2, 1, 3, 1, 3, 1, 1, 2, 2, 2, 3, 2, 1, 2, 2, 3, 3, 1, 1, 3, 3, 3, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 3, 2, 2, 2, 2, 3, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 3, 1, 1, 3, 2, 3, 1, 2, 2, 1, 1, 2, 3, 2, 3, 2, 3, 2, 3, 3, 1, 3, 3, 3, 1, 2, 2, 3, 3, 3, 1, 2, 1, 3, 3, 3, 3, 2, 1, 2, 2, 3, 2, 1, 1, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3"
"N192_M5_normal-wide_I9Z1J4S6";"I9Z1J4S6";192;5;"normal-wide";"random";"3, 1, 1, 3, 3, 3, 2, 3, 3, 2, 3, 1, 2, 2, 1, 3, 3, 2, 1, 2, 3, 2, 1, 1, 1, 3, 3, 1, 1, 1, 1, 2, 3, 3, 2, 1, 3, 1, 1, 3, 1, 2, 3, 3, 2, 2, 1, 3, 3, 2, 1, 3, 1, 2, 2, 2, 2, 2, 1, 3, 2, 2, 2, 3, 3, 2, 2, 3, 1, 2, 3, 3, 1, 3, 3, 1, 3, 3, 1, 1, 3, 1, 2, 3, 1, 2, 3, 1, 2, 3, 1, 3, 2, 2, 3, 1, 1, 2, 2, 3, 3, 1, 1, 2, 1, 1, 2, 1, 3, 1, 3, 3, 2, 3, 3, 1, 3, 1, 1, 2, 2, 1, 2, 2, 1, 2, 1, 2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 3, 1, 2, 3, 1, 1, 3, 2, 1, 2, 3, 1, 3, 3, 2, 1, 1, 1, 1, 3, 3, 2, 1, 2, 3, 2, 2, 3, 3, 2, 2, 3, 3, 1, 3, 1, 2, 3, 1, 1, 1, 1, 3, 2, 2, 2, 2, 1, 3, 3, 2, 1, 1, 2, 1"
"N36_M6_normal_N3M2R7Q4";"N3M2R7Q4";36;6;"normal";"ace-exchange";"1, 2, 1, 2, 2, 1, 2, 3, 1, 3, 2, 3, 2, 1, 1, 3, 3, 2, 3, 3, 2, 3, 2, 2, 1, 1, 3, 3, 1, 3, 2, 1, 1, 3, 1, 2"
"N36_M6_normal_N3M2R7Q4";"N3M2R7Q4";36;6;"normal";"k-means-exchange";"1, 3, 3, 1, 3, 3, 1, 1, 2, 2, 3, 2, 1, 3, 1, 1, 1, 2, 2, 1, 3, 1, 2, 2, 2, 3, 2, 2, 3, 3, 3, 3, 1, 2, 2, 1"
"N36_M6_normal_N3M2R7Q4";"N3M2R7Q4";36;6;"normal";"kplus";"1, 3, 1, 2, 3, 3, 2, 2, 1, 1, 3, 3, 2, 2, 2, 2, 2, 3, 3, 1, 2, 2, 1, 3, 1, 3, 1, 3, 1, 2, 3, 1, 3, 1, 1, 2"
"N36_M6_normal_N3M2R7Q4";"N3M2R7Q4";36;6;"normal";"random";"3, 1, 2, 3, 2, 1, 1, 2, 3, 3, 3, 3, 1, 2, 3, 2, 1, 3, 1, 2, 1, 2, 2, 1, 2, 2, 2, 2, 1, 3, 1, 3, 1, 3, 1, 3"
"N192_M4_normal-wide_Q8J3P7K1";"Q8J3P7K1";192;4;"normal-wide";"ace-exchange";"3, 1, 1, 1, 2, 3, 2, 1, 2, 3, 2, 2, 2, 3, 3, 2, 1, 3, 1, 3, 1, 3, 2, 3, 2, 3, 3, 2, 1, 2, 3, 1, 2, 2, 3, 3, 3, 3, 3, 3, 1, 1, 3, 2, 1, 1, 1, 3, 1, 2, 1, 3, 2, 1, 3, 2, 3, 3, 2, 3, 2, 1, 1, 3, 2, 1, 3, 1, 3, 2, 1, 1, 1, 1, 1, 3, 2, 2, 1, 2, 2, 1, 3, 1, 1, 1, 2, 3, 2, 1, 2, 2, 2, 2, 3, 1, 3, 3, 1, 1, 3, 2, 3, 1, 2, 1, 2, 3, 1, 1, 3, 1, 2, 2, 1, 3, 2, 1, 3, 3, 3, 3, 2, 1, 1, 3, 3, 1, 2, 2, 2, 1, 1, 3, 2, 3, 2, 1, 3, 2, 3, 1, 2, 3, 2, 3, 1, 3, 2, 3, 2, 1, 2, 3, 2, 1, 1, 3, 1, 2, 1, 1, 3, 1, 3, 1, 3, 3, 2, 1, 1, 1, 2, 2, 3, 2, 3, 2, 1, 2, 2, 3, 3, 2, 2, 2, 2, 2, 1, 2, 1, 3"
"N192_M4_normal-wide_Q8J3P7K1";"Q8J3P7K1";192;4;"normal-wide";"k-means-exchange";"3, 3, 2, 3, 3, 2, 2, 3, 1, 1, 1, 2, 2, 3, 3, 3, 1, 2, 3, 1, 1, 3, 1, 1, 3, 3, 3, 1, 3, 1, 2, 3, 3, 3, 2, 1, 2, 3, 1, 2, 3, 2, 3, 2, 3, 1, 2, 3, 3, 3, 3, 1, 3, 1, 2, 3, 1, 2, 1, 2, 2, 1, 3, 1, 2, 3, 1, 3, 2, 1, 2, 2, 2, 2, 2, 2, 1, 3, 1, 3, 3, 3, 1, 1, 1, 2, 1, 1, 1, 1, 3, 2, 2, 3, 1, 3, 1, 3, 2, 1, 3, 1, 3, 2, 2, 1, 2, 1, 1, 2, 1, 3, 3, 2, 3, 1, 2, 1, 3, 3, 1, 2, 1, 1, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 3, 3, 2, 2, 1, 1, 1, 3, 2, 1, 2, 1, 3, 3, 3, 2, 2, 2, 1, 2, 2, 2, 3, 1, 2, 1, 3, 2, 1, 2, 2, 3, 3, 1, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 3, 1, 2, 3, 3, 2, 1, 3"
"N192_M4_normal-wide_Q8J3P7K1";"Q8J3P7K1";192;4;"normal-wide";"kplus";"2, 1, 1, 2, 2, 2, 2, 3, 2, 3, 2, 1, 1, 2, 1, 3, 3, 1, 1, 2, 3, 1, 1, 3, 1, 1, 2, 1, 2, 1, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 1, 1, 2, 3, 2, 3, 1, 1, 1, 2, 2, 2, 2, 3, 1, 1, 3, 2, 2, 2, 3, 3, 3, 2, 3, 1, 3, 3, 2, 2, 2, 2, 3, 3, 2, 3, 1, 3, 3, 2, 2, 2, 2, 1, 2, 3, 3, 2, 2, 1, 2, 1, 1, 2, 3, 1, 2, 1, 3, 2, 3, 3, 1, 1, 3, 1, 1, 1, 1, 1, 2, 2, 3, 2, 1, 3, 3, 2, 1, 2, 2, 2, 2, 1, 2, 3, 3, 1, 3, 1, 2, 2, 3, 1, 3, 2, 3, 3, 3, 1, 2, 2, 1, 3, 3, 3, 1, 1, 2, 2, 2, 1, 3, 1, 1, 3, 1, 2, 1, 2, 3, 1, 3, 2, 3, 1, 2, 3, 2, 1, 1, 3, 1, 1, 1, 1, 2, 2, 1, 1, 3, 3, 1, 1, 3, 1, 2, 3, 1, 3, 3"
"N192_M4_normal-wide_Q8J3P7K1";"Q8J3P7K1";192;4;"normal-wide";"random";"3, 1, 1, 3, 3, 1, 1, 3, 2, 3, 2, 1, 2, 1, 3, 2, 2, 3, 3, 1, 1, 3, 3, 2, 3, 1, 1, 3, 2, 1, 1, 3, 2, 3, 3, 1, 1, 3, 3, 3, 3, 2, 1, 1, 2, 2, 2, 3, 2, 1, 3, 3, 3, 3, 1, 1, 3, 2, 1, 1, 1, 2, 1, 2, 3, 3, 1, 2, 2, 1, 2, 3, 3, 1, 2, 2, 2, 2, 3, 1, 2, 2, 2, 2, 1, 1, 3, 3, 2, 2, 1, 2, 2, 1, 3, 2, 1, 3, 3, 2, 1, 3, 1, 2, 1, 2, 3, 2, 2, 1, 2, 3, 3, 3, 3, 2, 1, 1, 1, 3, 3, 1, 1, 3, 1, 1, 3, 2, 2, 1, 2, 2, 3, 1, 3, 3, 3, 2, 2, 2, 1, 1, 3, 1, 1, 1, 2, 2, 3, 3, 1, 1, 2, 2, 2, 3, 1, 2, 2, 1, 1, 2, 3, 2, 2, 1, 2, 3, 2, 1, 3, 3, 3, 1, 3, 1, 1, 3, 2, 2, 2, 1, 1, 2, 2, 2, 1, 3, 3, 3, 3, 1"
"N192_M5_uniform_C8S9K2U7";"C8S9K2U7";192;5;"uniform";"ace-exchange";"3, 3, 2, 2, 3, 2, 3, 1, 1, 3, 1, 3, 1, 1, 2, 2, 1, 2, 1, 2, 3, 2, 2, 3, 3, 2, 1, 1, 1, 2, 2, 2, 1, 2, 3, 2, 2, 2, 2, 3, 1, 3, 1, 3, 2, 1, 3, 2, 1, 1, 3, 1, 1, 2, 3, 3, 2, 2, 3, 1, 3, 1, 2, 2, 1, 3, 3, 2, 1, 3, 2, 1, 1, 2, 1, 2, 3, 3, 2, 1, 1, 3, 1, 3, 2, 1, 1, 3, 2, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 3, 2, 3, 1, 3, 1, 3, 3, 2, 1, 2, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 3, 2, 3, 2, 3, 3, 1, 2, 2, 1, 1, 3, 3, 1, 2, 1, 2, 1, 1, 3, 2, 1, 1, 2, 1, 2, 1, 3, 3, 3, 2, 1, 2, 2, 2, 2, 1, 1, 2, 1, 2, 3, 3, 1, 1, 1, 2, 3, 2, 2, 3, 3, 3, 1, 1, 1, 3, 3, 3, 2"
"N192_M5_uniform_C8S9K2U7";"C8S9K2U7";192;5;"uniform";"k-means-exchange";"2, 2, 2, 1, 1, 2, 1, 2, 3, 3, 3, 2, 2, 1, 1, 1, 3, 3, 1, 2, 1, 1, 3, 3, 1, 2, 3, 2, 2, 3, 1, 2, 2, 3, 3, 3, 3, 3, 3, 1, 1, 3, 2, 2, 2, 1, 1, 2, 1, 1, 1, 3, 3, 2, 3, 2, 3, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2, 2, 1, 2, 1, 1, 3, 1, 2, 1, 3, 3, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 1, 2, 3, 2, 2, 3, 2, 3, 2, 1, 2, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 3, 2, 3, 3, 3, 2, 3, 3, 3, 2, 2, 2, 1, 3, 1, 1, 1, 3, 1, 1, 1, 3, 3, 3, 2, 1, 1, 3, 3, 3, 3, 2, 3, 2, 3, 2, 2, 2, 2, 1, 1, 3, 1, 2, 3, 1, 3, 2, 3, 1, 1, 1, 1, 1, 2, 2, 3, 2, 1, 1, 3, 2, 3, 3, 3, 2, 3, 1, 3, 2, 3, 3, 1, 3, 2, 1, 3, 3, 2, 3"
"N192_M5_uniform_C8S9K2U7";"C8S9K2U7";192;5;"uniform";"kplus";"2, 2, 1, 2, 1, 3, 2, 1, 2, 1, 3, 2, 1, 1, 3, 1, 3, 3, 2, 3, 1, 1, 2, 2, 3, 1, 1, 3, 1, 1, 3, 1, 2, 2, 1, 3, 2, 3, 1, 2, 1, 1, 3, 3, 3, 2, 1, 2, 1, 2, 1, 2, 3, 3, 2, 1, 3, 1, 2, 2, 1, 1, 1, 3, 2, 1, 2, 1, 1, 2, 3, 3, 3, 1, 3, 3, 3, 1, 3, 1, 1, 2, 1, 3, 1, 1, 2, 1, 1, 3, 2, 2, 3, 3, 1, 2, 1, 3, 2, 3, 1, 1, 3, 3, 1, 2, 3, 3, 3, 2, 1, 3, 3, 2, 1, 1, 2, 1, 3, 3, 2, 1, 2, 2, 1, 2, 3, 3, 2, 3, 2, 2, 1, 3, 1, 2, 3, 2, 2, 2, 2, 1, 1, 3, 3, 3, 2, 3, 3, 2, 2, 1, 3, 3, 2, 1, 2, 3, 2, 2, 3, 1, 2, 2, 2, 1, 3, 1, 3, 2, 2, 2, 1, 3, 2, 2, 3, 1, 1, 3, 3, 3, 3, 1, 2, 2, 2, 1, 3, 2, 1, 3"
"N192_M5_uniform_C8S9K2U7";"C8S9K2U7";192;5;"uniform";"random";"3, 1, 3, 3, 3, 1, 1, 2, 1, 2, 1, 2, 3, 1, 2, 1, 1, 2, 1, 2, 2, 2, 3, 1, 3, 2, 2, 2, 2, 3, 1, 2, 3, 2, 2, 3, 3, 2, 1, 2, 3, 3, 3, 1, 2, 3, 3, 2, 1, 1, 2, 1, 3, 1, 2, 3, 3, 1, 1, 2, 1, 2, 3, 2, 1, 3, 2, 1, 2, 1, 2, 2, 2, 2, 1, 2, 1, 3, 1, 2, 2, 3, 1, 1, 3, 3, 3, 3, 1, 1, 1, 2, 2, 1, 1, 3, 3, 1, 1, 2, 2, 1, 2, 2, 1, 1, 1, 2, 2, 2, 1, 1, 3, 3, 1, 3, 1, 1, 2, 3, 3, 3, 2, 2, 1, 2, 1, 1, 2, 2, 2, 3, 1, 1, 3, 1, 1, 1, 1, 3, 2, 3, 2, 3, 1, 2, 2, 2, 3, 1, 2, 3, 3, 1, 3, 1, 3, 2, 3, 3, 3, 2, 1, 3, 1, 3, 1, 3, 3, 2, 3, 3, 3, 3, 2, 2, 1, 3, 1, 3, 3, 3, 2, 1, 3, 3, 3, 3, 2, 2, 1, 2"
"N192_M2_uniform_A0V8O6N3";"A0V8O6N3";192;2;"uniform";"ace-exchange";"2, 2, 2, 3, 1, 2, 3, 1, 2, 2, 1, 3, 3, 1, 1, 2, 3, 2, 2, 1, 2, 1, 1, 1, 1, 2, 3, 2, 3, 1, 3, 3, 1, 2, 3, 3, 3, 3, 1, 3, 2, 1, 2, 3, 1, 3, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 3, 3, 2, 1, 2, 3, 2, 2, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 3, 2, 2, 3, 3, 1, 1, 1, 1, 3, 2, 2, 1, 2, 1, 3, 2, 2, 3, 2, 3, 3, 3, 2, 1, 1, 3, 2, 2, 3, 1, 1, 3, 3, 1, 2, 3, 3, 3, 2, 2, 3, 3, 1, 1, 2, 2, 3, 3, 1, 2, 2, 1, 2, 3, 3, 3, 2, 3, 3, 2, 1, 3, 3, 1, 2, 1, 2, 3, 3, 2, 3, 1, 2, 1, 3, 3, 1, 3, 2, 3, 2, 3, 3, 2, 2, 1, 1, 3, 1, 2, 3, 1, 2, 1, 1, 1, 3, 2, 2, 2, 1, 1, 3, 2, 3, 3, 1, 2, 1, 3, 2, 3, 1, 3, 2"
"N192_M2_uniform_A0V8O6N3";"A0V8O6N3";192;2;"uniform";"k-means-exchange";"1, 2, 2, 1, 1, 1, 2, 1, 3, 3, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 3, 2, 1, 1, 2, 3, 3, 1, 3, 3, 3, 1, 3, 1, 1, 1, 3, 3, 3, 2, 1, 1, 2, 3, 1, 2, 2, 1, 2, 3, 1, 3, 2, 1, 3, 1, 2, 1, 2, 2, 2, 3, 3, 1, 1, 3, 1, 3, 1, 3, 1, 1, 1, 1, 2, 1, 1, 3, 1, 3, 3, 3, 2, 2, 3, 3, 1, 1, 3, 2, 3, 1, 2, 1, 3, 2, 3, 3, 1, 1, 2, 2, 2, 1, 1, 2, 1, 3, 3, 2, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 1, 3, 2, 3, 3, 3, 1, 2, 2, 3, 1, 3, 2, 2, 3, 1, 2, 3, 2, 2, 1, 2, 2, 2, 3, 2, 2, 1, 3, 2, 1, 2, 2, 1, 2, 3, 1, 2, 3, 3, 3, 2, 2, 2, 1, 2, 2, 2, 3, 1, 3, 3, 2, 2, 2, 1, 3, 2, 1, 3, 1, 2, 1, 1, 3, 3"
